videoId,title,duration,metadataRows,url,thumbnail
qldTy3oulB4,✅ जब भगवान किसी को चुन लेते तो शरीर में दिखते हैं ये 7 दिव्य संकेत ! #meditation,30:35,"[['898 views', '7 months ago']]",https://www.youtube.com/watch?v=qldTy3oulB4,https://i.ytimg.com/an_webp/qldTy3oulB4/mqdefault_6s.webp?du=3000&sqp=CMj7sNMG&rs=AOn4CLBaSukoHM22VlRSpbLPLU1zjJbG7g
0uETe7DQE1w,✅शक्तिशाली महा ध्यान जहा मन शांत और अहंकार शून्य होता है Powerful Maha Meditation #meditation,35:08,"[['1.2K views', '7 months ago']]",https://www.youtube.com/watch?v=0uETe7DQE1w,https://i.ytimg.com/an_webp/0uETe7DQE1w/mqdefault_6s.webp?du=3000&sqp=CICDsdMG&rs=AOn4CLBF8vRlhJefrxGXkSxJvqepyNgnrw
n7kzF2uokLY,"✅मन को ध्यान में कैसे लगाएं How Mind Support in Deep Meditation, BuddhistMeditation Techniques#peace",26:54,"[['855 views', '7 months ago']]",https://www.youtube.com/watch?v=n7kzF2uokLY,https://i.ytimg.com/an_webp/n7kzF2uokLY/mqdefault_6s.webp?du=3000&sqp=CMaLsdMG&rs=AOn4CLAhSS1R-uO3BeGjxsG5XuY5nwfzTg
s_2NFqhuFag,✅ध्यान Why can't you enter into meditation? New Meditation Techniques Meditation For Beginners,32:34,"[['1.1K views', '7 months ago']]",https://www.youtube.com/watch?v=s_2NFqhuFag,https://i.ytimg.com/an_webp/s_2NFqhuFag/mqdefault_6s.webp?du=3000&sqp=CLiIsdMG&rs=AOn4CLAAJnnGCRIxnSsMHLpniig5cB95ag
ZCLmYkY6LIQ,✅️नाक से सांस लेने की गुप्त विधि जो आपकी जिंदगी बदल देगी Breathing Manifestation Buddhist Techniques,35:12,"[['25K views', '7 months ago']]",https://www.youtube.com/watch?v=ZCLmYkY6LIQ,https://i.ytimg.com/an_webp/ZCLmYkY6LIQ/mqdefault_6s.webp?du=3000&sqp=CNiDsdMG&rs=AOn4CLCTRqsHbfnOAW3PG8SZRMFGxGgJZw
2JzbdW4ijPg,पेट से सांस लो जिंदगी बदल जाएगी Breathing Meditation Techniques Meditation Techniques #Meditation ,31:55,"[['2.8K views', '8 months ago']]",https://www.youtube.com/watch?v=2JzbdW4ijPg,https://i.ytimg.com/an_webp/2JzbdW4ijPg/mqdefault_6s.webp?du=3000&sqp=CNDWsNMG&rs=AOn4CLCIwDljJ12kJYp43izBbG5YALciVg
v9jNn2YsWz4,✅अपनी सांसो पर ध्यान केंद्रित करो Buddhist Meditation Techniques Buddha Techniques #meditation,44:04,"[['15K views', '8 months ago']]",https://www.youtube.com/watch?v=v9jNn2YsWz4,https://i.ytimg.com/an_webp/v9jNn2YsWz4/mqdefault_6s.webp?du=3000&sqp=CILOsNMG&rs=AOn4CLBT1rIhqAbVh3etN4EUJp2YMXfDNQ
2Oq257Gjtjg,ध्यान और समाधि के अनुभव🧘 experiences of meditation and samadhi buddhist meditation techniques ,38:46,"[['537 views', '8 months ago']]",https://www.youtube.com/watch?v=2Oq257Gjtjg,https://i.ytimg.com/an_webp/2Oq257Gjtjg/mqdefault_6s.webp?du=3000&sqp=CLD5sNMG&rs=AOn4CLBPZQmnb-bog6KacurxQWRqO5vyhQ
J3o5T0eygYA,ब्रह्म मुहूर्त में ध्यान करने से आत्मा कहा  जाती ह Secrets of Early Morning Meditation #meditation ,30:17,"[['412 views', '8 months ago']]",https://www.youtube.com/watch?v=J3o5T0eygYA,https://i.ytimg.com/an_webp/J3o5T0eygYA/mqdefault_6s.webp?du=3000&sqp=CJDTsNMG&rs=AOn4CLD1D4-QxuN44l5eDc3eYJmykprhzg
RWm9gevJFKc,"✅By applying oil in the navel, all the diseases of the body will disappear, Buddhist Story to Get...",29:31,"[['164 views', '8 months ago']]",https://www.youtube.com/watch?v=RWm9gevJFKc,https://i.ytimg.com/an_webp/RWm9gevJFKc/mqdefault_6s.webp?du=3000&sqp=CKn3sNMG&rs=AOn4CLDCgYmORUyTCzUS2qf66fTd-CCB2g
1932Ipf6hAU,✅ध्यान मे सांसो  का महत्व The importance of breathing in meditation #meditation,35:50,"[['1K views', '8 months ago']]",https://www.youtube.com/watch?v=1932Ipf6hAU,https://i.ytimg.com/an_webp/1932Ipf6hAU/mqdefault_6s.webp?du=3000&sqp=CO-CsdMG&rs=AOn4CLCYfs9sCriUX5d-j2ir6m6FvGrxWQ
vR6ehDVe3M0,ब्रह्म मुहूर्त में ध्यान करने से आत्मा कहा जाती ह Secrets of Early Morning Meditation #meditation ,14:18,"[['630 views', '8 months ago']]",https://www.youtube.com/watch?v=vR6ehDVe3M0,https://i.ytimg.com/an_webp/vR6ehDVe3M0/mqdefault_6s.webp?du=3000&sqp=CLz8sNMG&rs=AOn4CLB9fvuVSg-EAeukjLt2toiIu5wmdQ
p0ET-JXIUNk,सुषुम्ना नाडी को कैसे जागृत करें How to awaken the Sushumna Nadi Inspired Club #meditation ,1:44,"[['128 views', '8 months ago']]",https://www.youtube.com/watch?v=p0ET-JXIUNk,https://i.ytimg.com/vi/p0ET-JXIUNk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpCDtRmaTTa5n2OyvpfY6FQTy8Ew
